,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
NOTCH2_cnv,0.0011779238,-0.0011955891,-0.005888954,0.0038782172,0.0021532122,-0.0034130774,-0.0071128863,0.010197841
ACP6_cnv,0.0011771508,-0.0011931304,-0.005890958,0.0038764663,0.002156931,-0.0034157601,-0.007121567,0.010202952
ANKRD20A12P_cnv,0.0011713179,-0.0011740006,-0.0059064683,0.0038629752,0.0021857321,-0.0034364793,-0.00718913,0.010242664
ANKRD34A_cnv,0.0011719652,-0.0011762115,-0.00590471,0.0038645277,0.0021824613,-0.00343409,-0.007181402,0.010238113
ANKRD35_cnv,0.0011719652,-0.0011762115,-0.00590471,0.0038645277,0.0021824613,-0.00343409,-0.007181402,0.010238113
BCL9_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
BOLA1_cnv,0.0011717398,-0.0011755163,-0.005905267,0.0038640387,0.0021835305,-0.003434849,-0.0071838624,0.010239558
CD160_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
CHD1L_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FAM72B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FAM72C_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FAM72D_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FCGR1A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FCGR1B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
FMO5_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
GJA5_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
GJA8_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
GNRHR2_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
GPR89A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
GPR89B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2AA3_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2AA4_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2AB_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2AC_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2BA_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2BE_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H2BF_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H3A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H3C_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H3D_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H4A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HIST2H4B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
HYDIN2_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
