,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
PIK3CA,-0.15272771,-0.05231981,0.23863705,0.043446116,-0.33488256,-0.400917,0.13794824,0.29370648,0.3170541,-0.18105376,-0.13599986,-0.27386132,0.27162862,0.26327026,-0.2675393,0.4350906,0.2332443,-0.42662328,0.27764302,0.3431245,-0.057708345,0.45992106,0.35049146,0.36914912,0.2208516,-0.32726383,0.33451748,-0.26026216,-0.18532312,0.17092144,-0.29645854,-0.39480376,0.21182504,0.27320078,-0.418339,-0.08249132,-0.22048941,0.3794157,-0.10812971,0.4462105,-0.40831274,0.2867472,0.36581343,0.21903867,0.22941956,0.31300604,-0.33855176,0.31677568,0.064990275,-0.22655442,-0.29410082,-0.35708582,0.1587665,-0.083326645,-0.29365355,0.09203866,-0.19164765,0.171566,-0.19377522,0.34308708,0.2516771,0.064477205,0.29826683,-0.31506094
RNF43,-0.14521481,-0.07719566,0.23683071,0.06827062,-0.33596802,-0.38782722,0.13043982,0.26211253,0.30047107,-0.18468423,-0.07627919,-0.27610585,0.25845188,0.25330088,-0.25444257,0.43185866,0.21760072,0.06609189,0.23282556,0.33395,-0.08757363,-0.07409024,0.32865995,0.36575612,0.18329029,-0.32361567,0.31634876,-0.23956594,-0.16731112,0.16142948,-0.26712656,-0.3915327,0.22469921,0.27141136,-0.41009825,-0.062254265,-0.21791264,0.37492257,-0.08821551,0.42302424,-0.39113194,0.27295685,0.354662,0.22151259,0.20175947,0.30734423,-0.3324859,0.30627906,0.06945584,-0.22313422,-0.28760207,-0.33313137,0.1466635,-0.04673945,-0.28992707,0.0925114,-0.18421303,0.1661003,-0.18228479,0.33210385,-0.018462658,0.05233453,0.25949183,-0.31362203
GATA3,-0.15686095,-0.047992807,0.24143896,0.03911505,-0.34188676,-0.4020918,0.1625787,0.30245793,0.32005006,-0.18099019,-0.14647064,-0.26296258,0.28028533,0.26834217,-0.2746172,0.43090138,0.24381778,-0.47906697,0.30529922,0.3488502,-0.030438844,0.51693565,0.3600447,0.37298894,0.24489892,-0.31901544,0.33627552,-0.27378806,-0.1857028,0.17355938,-0.3117171,-0.39504814,0.21643803,0.2683185,-0.4127407,-0.08494645,-0.22431716,0.38264513,-0.118721195,0.45478803,-0.41176027,0.2893898,0.35939664,0.2233789,0.2513268,0.3117874,-0.33799607,0.32676616,0.059620507,-0.22664595,-0.29825592,-0.36454394,0.16988565,-0.114484526,-0.29564762,0.09904694,-0.19880906,0.18106285,-0.20002078,0.3529839,0.23658246,0.07013344,0.32075256,-0.31629086
ALK,-0.13941224,-0.075026885,0.22731242,0.06524406,-0.3226613,-0.37015408,0.12839201,0.25504002,0.28827178,-0.1776442,-0.07040183,-0.2639515,0.25067246,0.24422216,-0.24692434,0.41825306,0.21003008,0.06108143,0.2237578,0.32694262,-0.08448522,-0.075388074,0.31536123,0.35464644,0.17731012,-0.3076982,0.3061688,-0.23025735,-0.16447459,0.15775767,-0.25767928,-0.38005924,0.2160201,0.26394343,-0.3959058,-0.059557185,-0.21098334,0.35886362,-0.08464068,0.41033107,-0.3766482,0.26303276,0.3374812,0.21277201,0.19934353,0.29858595,-0.32222566,0.2968911,0.06701388,-0.21323569,-0.27704525,-0.32191238,0.13838728,-0.047832534,-0.280157,0.09217544,-0.1783804,0.16225623,-0.17606457,0.32316762,-0.019002778,0.052219607,0.25053865,-0.29872045
ESR1,-0.1310192,-0.06727769,0.2122406,0.06031122,-0.30759925,-0.3500724,0.12091324,0.24677172,0.2720848,-0.164531,-0.06923638,-0.24433857,0.23821647,0.23175907,-0.23520824,0.39677408,0.20212549,0.000813853,0.21722841,0.3108915,-0.07510707,-0.034454085,0.3018963,0.3348203,0.1732155,-0.2866007,0.28989416,-0.22015649,-0.1552302,0.14935818,-0.24910668,-0.36109918,0.2018294,0.25025487,-0.37683946,-0.057182044,-0.20027529,0.33659923,-0.078949325,0.39321864,-0.35547635,0.24767902,0.31095463,0.19871883,0.19543722,0.28115112,-0.30444413,0.27923462,0.0625318,-0.19908434,-0.25977835,-0.30984914,0.12777431,-0.04876525,-0.26394612,0.08697457,-0.16705458,0.15619476,-0.16987632,0.3071396,0.006579916,0.051226202,0.24018875,-0.28190696
TP53,-0.16221434,-0.026137948,0.2511934,0.01992012,-0.35456735,-0.42969626,0.15051189,0.3263731,0.338983,-0.18813586,-0.1958727,-0.28165525,0.28638774,0.28021717,-0.28084737,0.44751328,0.25286037,-0.9084736,0.331734,0.3604318,-0.035203114,0.97169226,0.38621587,0.39585704,0.2656399,-0.33464962,0.3660286,-0.29715008,-0.20022994,0.17981425,-0.33826697,-0.41216502,0.21213537,0.2743761,-0.43616974,-0.10350494,-0.23039739,0.40271354,-0.13209407,0.48540324,-0.44175386,0.30785456,0.39152217,0.22896504,0.2634612,0.33130312,-0.3524878,0.34114254,0.07289148,-0.23301715,-0.31583333,-0.3859526,0.1824354,-0.11394164,-0.30799538,0.08935922,-0.20646355,0.18052183,-0.20455894,0.3652899,0.51821536,0.07631921,0.34571612,-0.33099708
POLE,-0.16829987,-0.114229664,0.25451815,0.08619793,-0.3194961,-0.4331744,0.122135565,0.2933841,0.33638322,-0.21401355,-0.05665257,-0.34105432,0.27978754,0.27165705,-0.27111155,0.47687238,0.20976558,0.19377272,0.22883996,0.34563187,-0.14515957,-0.16403127,0.3518979,0.38068408,0.1909885,-0.35041797,0.3210462,-0.2551355,-0.19461358,0.17496635,-0.25140885,-0.4130368,0.23098545,0.306262,-0.44667894,-0.066996664,-0.23634344,0.41739148,-0.09939612,0.44157812,-0.3995267,0.28970593,0.3986677,0.24104692,0.219326,0.35923272,-0.34728652,0.31961328,0.08570455,-0.23308852,-0.30896556,-0.34120345,0.15611595,-0.030527465,-0.29693282,0.10451089,-0.19989133,0.16796364,-0.20471457,0.339609,-0.06638496,0.07016674,0.26257992,-0.34023273
NOTCH4,-0.13881607,-0.063800775,0.22602628,0.056790806,-0.3209819,-0.37037367,0.13231163,0.2633251,0.2891957,-0.17355144,-0.089303926,-0.25705272,0.25301066,0.24663833,-0.2506538,0.4129586,0.21517275,-0.11084646,0.23720561,0.32647577,-0.06921974,0.10373527,0.3217431,0.35390568,0.18963352,-0.30614394,0.30966824,-0.237028,-0.16775724,0.16139798,-0.26992986,-0.3807851,0.21169701,0.26332685,-0.39550784,-0.06528115,-0.21168648,0.3579065,-0.09059913,0.4143232,-0.3783158,0.2646133,0.33427405,0.2106294,0.20785375,0.2970273,-0.32359922,0.2972195,0.062292673,-0.21367705,-0.27668962,-0.32758147,0.14170422,-0.061445676,-0.2797895,0.09160039,-0.17792921,0.16657588,-0.18068106,0.32336822,0.06965573,0.055313274,0.26129925,-0.29624048
INPP4B,-0.13684121,-0.072443716,0.21995103,0.06360837,-0.31644857,-0.36286306,0.12575534,0.25264263,0.28211617,-0.17332914,-0.07272913,-0.25560796,0.24614775,0.23921199,-0.24267703,0.4087625,0.20724584,0.032444846,0.22165468,0.32092202,-0.08083917,-0.04983111,0.30884397,0.34536302,0.17655814,-0.29754573,0.30064303,-0.22718614,-0.1613557,0.15530516,-0.25392842,-0.37171376,0.21159333,0.2580635,-0.38993055,-0.057571907,-0.20731747,0.3492058,-0.08404899,0.40475914,-0.3681282,0.25648805,0.32540822,0.20769276,0.19927552,0.29278487,-0.3152648,0.29109076,0.0664938,-0.20717621,-0.27030408,-0.31641066,0.13299836,-0.050898097,-0.272806,0.091906115,-0.17440818,0.1597871,-0.17587483,0.319171,-0.0075689517,0.0533866,0.24527204,-0.2916111
FLT4,-0.15108348,-0.08303569,0.23383124,0.06804766,-0.32467747,-0.39071792,0.12359229,0.27100754,0.30688262,-0.18370816,-0.08289153,-0.2830174,0.2530368,0.25781417,-0.25249147,0.42989674,0.22111431,0.020527905,0.23296437,0.33119762,-0.09546506,-0.025961628,0.33001232,0.3529969,0.18233952,-0.3156196,0.3094005,-0.24735945,-0.17270994,0.16395001,-0.26375377,-0.37719697,0.21207792,0.27675393,-0.40831017,-0.063497126,-0.2141556,0.37777978,-0.09027235,0.42272058,-0.3822506,0.2716661,0.3604086,0.21379253,0.20633438,0.3155521,-0.32493588,0.30425823,0.07573858,-0.21535319,-0.2840254,-0.33048132,0.13979515,-0.046617225,-0.28349525,0.087549925,-0.19005054,0.16058844,-0.19222338,0.32825917,0.00060069375,0.05926708,0.25785902,-0.3193996
